parameter,value,unit,datetimeLocal
pm25,36.86,µg/m³,2026-03-15T21:35:00+07:00
pm25,35.8,µg/m³,2026-03-15T21:40:00+07:00
pm25,36.34,µg/m³,2026-03-15T21:45:00+07:00
pm25,37.44,µg/m³,2026-03-15T21:50:00+07:00
pm25,37.96,µg/m³,2026-03-15T21:55:00+07:00
pm25,37.29,µg/m³,2026-03-15T22:00:00+07:00
pm25,35.39,µg/m³,2026-03-15T22:05:00+07:00
pm25,35.5,µg/m³,2026-03-15T22:10:00+07:00
pm25,35.87,µg/m³,2026-03-15T22:15:00+07:00
pm25,35.84,µg/m³,2026-03-15T22:20:00+07:00
pm25,35.88,µg/m³,2026-03-15T22:25:00+07:00
pm25,35.81,µg/m³,2026-03-15T22:30:00+07:00
pm25,36.19,µg/m³,2026-03-15T22:35:00+07:00
pm25,36.41,µg/m³,2026-03-15T22:40:00+07:00
pm25,36.07,µg/m³,2026-03-15T22:45:00+07:00
pm25,35.64,µg/m³,2026-03-15T22:50:00+07:00
pm25,36.33,µg/m³,2026-03-15T22:55:00+07:00
pm25,36.31,µg/m³,2026-03-15T23:00:00+07:00
pm25,36.1,µg/m³,2026-03-15T23:05:00+07:00
pm25,35.53,µg/m³,2026-03-15T23:10:00+07:00
pm25,36.26,µg/m³,2026-03-15T23:15:00+07:00
pm25,36.98,µg/m³,2026-03-15T23:20:00+07:00
pm25,35.91,µg/m³,2026-03-15T23:25:00+07:00
pm25,35.37,µg/m³,2026-03-15T23:30:00+07:00
pm25,34.11,µg/m³,2026-03-15T23:35:00+07:00
pm25,33.5,µg/m³,2026-03-15T23:40:00+07:00
pm25,33.64,µg/m³,2026-03-15T23:45:00+07:00
pm25,33.9,µg/m³,2026-03-15T23:50:00+07:00
pm25,33.5,µg/m³,2026-03-15T23:55:00+07:00
pm25,40.77,µg/m³,2026-03-16T00:00:00+07:00
pm25,31.49,µg/m³,2026-03-16T00:05:00+07:00
pm25,30.98,µg/m³,2026-03-16T00:10:00+07:00
pm25,30.35,µg/m³,2026-03-16T00:15:00+07:00
pm25,30.3,µg/m³,2026-03-16T00:20:00+07:00
pm25,30.3,µg/m³,2026-03-16T00:25:00+07:00
pm25,30.3,µg/m³,2026-03-16T00:30:00+07:00
pm25,29.12,µg/m³,2026-03-16T00:35:00+07:00
pm25,27.47,µg/m³,2026-03-16T00:40:00+07:00
pm25,26.5,µg/m³,2026-03-16T00:45:00+07:00
pm25,25.08,µg/m³,2026-03-16T00:50:00+07:00
pm25,24.26,µg/m³,2026-03-16T00:55:00+07:00
pm25,24.79,µg/m³,2026-03-16T01:00:00+07:00
pm25,25.96,µg/m³,2026-03-16T01:05:00+07:00
pm25,25.74,µg/m³,2026-03-16T01:10:00+07:00
pm25,25.4,µg/m³,2026-03-16T01:15:00+07:00
pm25,24.88,µg/m³,2026-03-16T01:20:00+07:00
pm25,25.39,µg/m³,2026-03-16T01:25:00+07:00
pm25,25.19,µg/m³,2026-03-16T01:30:00+07:00
pm25,25.35,µg/m³,2026-03-16T01:35:00+07:00
pm25,25.55,µg/m³,2026-03-16T01:40:00+07:00
pm25,24.27,µg/m³,2026-03-16T01:45:00+07:00
pm25,23.81,µg/m³,2026-03-16T01:50:00+07:00
pm25,24.42,µg/m³,2026-03-16T01:55:00+07:00
pm25,23.5,µg/m³,2026-03-16T02:00:00+07:00
pm25,23.18,µg/m³,2026-03-16T02:05:00+07:00
pm25,22.78,µg/m³,2026-03-16T02:10:00+07:00
pm25,22.22,µg/m³,2026-03-16T02:15:00+07:00
pm25,21.13,µg/m³,2026-03-16T02:20:00+07:00
pm25,21.24,µg/m³,2026-03-16T02:25:00+07:00
pm25,22.55,µg/m³,2026-03-16T02:30:00+07:00
pm25,23.86,µg/m³,2026-03-16T02:35:00+07:00
pm25,23.63,µg/m³,2026-03-16T02:40:00+07:00
pm25,22.65,µg/m³,2026-03-16T02:45:00+07:00
pm25,22.66,µg/m³,2026-03-16T02:50:00+07:00
pm25,23.38,µg/m³,2026-03-16T02:55:00+07:00
pm25,23.93,µg/m³,2026-03-16T03:00:00+07:00
pm25,24.16,µg/m³,2026-03-16T03:05:00+07:00
pm25,24.46,µg/m³,2026-03-16T03:10:00+07:00
pm25,24.29,µg/m³,2026-03-16T03:15:00+07:00
pm25,23.84,µg/m³,2026-03-16T03:20:00+07:00
pm25,23.6,µg/m³,2026-03-16T03:25:00+07:00
pm25,23.94,µg/m³,2026-03-16T03:30:00+07:00
pm25,24.67,µg/m³,2026-03-16T03:35:00+07:00
pm25,26.01,µg/m³,2026-03-16T03:40:00+07:00
pm25,26.99,µg/m³,2026-03-16T03:45:00+07:00
pm25,28.06,µg/m³,2026-03-16T03:50:00+07:00
pm25,28.4,µg/m³,2026-03-16T03:55:00+07:00
pm25,28.27,µg/m³,2026-03-16T04:00:00+07:00
pm25,29.11,µg/m³,2026-03-16T04:05:00+07:00
pm25,30.21,µg/m³,2026-03-16T04:10:00+07:00
pm25,31.03,µg/m³,2026-03-16T04:15:00+07:00
pm25,30.39,µg/m³,2026-03-16T04:20:00+07:00
pm25,28.81,µg/m³,2026-03-16T04:25:00+07:00
pm25,28.44,µg/m³,2026-03-16T04:30:00+07:00
pm25,29,µg/m³,2026-03-16T04:35:00+07:00
pm25,30.16,µg/m³,2026-03-16T04:40:00+07:00
pm25,28.89,µg/m³,2026-03-16T04:45:00+07:00
pm25,28.58,µg/m³,2026-03-16T04:50:00+07:00
pm25,29.13,µg/m³,2026-03-16T04:55:00+07:00
pm25,29.45,µg/m³,2026-03-16T05:00:00+07:00
pm25,31.08,µg/m³,2026-03-16T05:05:00+07:00
pm25,31.75,µg/m³,2026-03-16T05:10:00+07:00
pm25,31.13,µg/m³,2026-03-16T05:15:00+07:00
pm25,31.37,µg/m³,2026-03-16T05:20:00+07:00
pm25,31.2,µg/m³,2026-03-16T05:25:00+07:00
pm25,32.19,µg/m³,2026-03-16T05:30:00+07:00
pm25,33.71,µg/m³,2026-03-16T05:35:00+07:00
pm25,33.63,µg/m³,2026-03-16T05:40:00+07:00
pm25,32.79,µg/m³,2026-03-16T05:45:00+07:00
pm25,32.79,µg/m³,2026-03-16T05:50:00+07:00
pm25,33.3,µg/m³,2026-03-16T05:55:00+07:00
pm25,34.42,µg/m³,2026-03-16T06:00:00+07:00
pm25,35.64,µg/m³,2026-03-16T06:05:00+07:00
pm25,35.47,µg/m³,2026-03-16T06:10:00+07:00
pm25,35.72,µg/m³,2026-03-16T06:15:00+07:00
pm25,35.8,µg/m³,2026-03-16T06:20:00+07:00
pm25,37.31,µg/m³,2026-03-16T06:25:00+07:00
pm25,39.7,µg/m³,2026-03-16T06:30:00+07:00
pm25,40.58,µg/m³,2026-03-16T06:35:00+07:00
pm25,41.08,µg/m³,2026-03-16T06:40:00+07:00
pm25,41.5,µg/m³,2026-03-16T06:45:00+07:00
pm25,41.85,µg/m³,2026-03-16T06:50:00+07:00
pm25,41.11,µg/m³,2026-03-16T06:55:00+07:00
pm25,39.88,µg/m³,2026-03-16T07:00:00+07:00
